"Plot","prism_ppt","ppt_abieconc","ppt_abiemagn","ppt_pinulamb","ppt_pinupond","ppt_pinusabi","ppt_pseumenz","ppt_pinujeff","ppt_pinuyell"
"A1",1680.2255213903,"high","high","high","high","high","high","high","high"
"ARE1",956.430381316584,"low","low","low","low","high","low","low","low"
"HARDIN",1007.2030813346,"low","low","low","low","high","low","low","low"
"HARDIN B",1013.6946369243,"low","low","low","low","high","low","low","low"
"HEN1",861.166229432234,"low","low","low","low","high","low","low","low"
"LESTAN",1007.90770941278,"low","low","low","low","high","low","low","low"
"LLC",878.196140528764,"low","low","low","low","high","low","low","low"
"LLC1",877.938041976473,"low","low","low","low","high","low","low","low"
"RP1",853.974460943699,"low","low","low","low","high","low","low","low"
"RR20",924.34536411829,"low","low","low","low","high","low","low","low"
"RR32",922.157748518494,"low","low","low","low","high","low","low","low"
"RR33",978.805714189859,"low","low","low","low","high","low","low","low"
"RR7",877.415224774458,"low","low","low","low","high","low","low","low"
"RR71",989.768999367345,"low","low","low","low","high","low","low","low"
"RS01",1051.5191076519,"low","low","low","high","high","low","low","high"
"RS10",1076.25478672141,"low","low","low","high","high","low","high","high"
"RS54",1023.69494208815,"low","low","low","low","high","low","low","high"
"RS58",1019.53200435318,"low","low","low","low","high","low","low","high"
"RS77",1023.51291870112,"low","low","low","low","high","low","low","high"
"RS78",969.414443883174,"low","low","low","low","high","low","low","low"
"RS81",1027.75922048513,"low","low","low","low","high","low","low","high"
"RS85B",1028.7654306695,"low","low","low","low","high","low","low","high"
"RS91",1063.32451115997,"low","low","low","high","high","low","high","high"
"RS91H",1060.44055787186,"low","low","low","high","high","low","high","high"
"RS98B",1024.07104666601,"low","low","low","low","high","low","low","high"
"RS98F",1010.49391813832,"low","low","low","low","high","low","low","low"
"RT01",882.4378099499,"low","low","low","low","high","low","low","low"
"RT02",1045.76575118513,"low","low","low","high","high","low","low","high"
"RT02B",888.463367004441,"low","low","low","low","high","low","low","low"
"RT02C",889.694297577627,"low","low","low","low","high","low","low","low"
"RT02D",902.640386992841,"low","low","low","low","high","low","low","low"
"S1A",1063.02363962393,"low","low","low","high","high","low","high","high"
"SA03",1104.34616743645,"low","low","low","high","high","low","high","high"
"SB01",1078.16518932281,"low","low","low","high","high","low","high","high"
"SJP",1156.92210106435,"low","low","low","high","high","low","high","high"
"SP1",1016.83964060213,"low","low","low","low","high","low","low","high"
"SS15",1563.22261449316,"high","high","high","high","high","high","high","high"
"SS24",1524.61224428863,"high","high","high","high","high","high","high","high"
"SS81",2027.58468755864,"high","high","high","high","high","high","high","high"
"SS81B",2027.38371139239,"high","high","high","high","high","high","high","high"
"SS82",2025.18191714687,"high","high","high","high","high","high","high","high"
"SSA15",1137.61575805296,"low","low","low","high","high","low","high","high"
"SSA76",1961.15197955097,"high","high","high","high","high","high","high","high"
"SSC1",1499.65685093404,"high","high","high","high","high","high","high","high"
"SSC5B",1526.86961350082,"high","high","high","high","high","high","high","high"
"TEDDY",1017.87580998698,"low","low","low","low","high","low","low","high"
"TJP",1805.41524403976,"high","high","high","high","high","high","high","high"
"TP1",1612.15604937212,"high","high","high","high","high","high","high","high"
"TR01",1523.76444608624,"high","high","high","high","high","high","high","high"
"TR15",1901.28023449229,"high","high","high","high","high","high","high","high"
"TULLB",1670.93335055675,"high","high","high","high","high","high","high","high"
"ULC1",920.545443854245,"low","low","low","low","high","low","low","low"
"ULC1B",921.151571791704,"low","low","low","low","high","low","low","low"
"WA01",1701.29270817421,"high","high","high","high","high","high","high","high"
"YB01A",1142.86853778129,"low","low","low","high","high","low","high","high"
"YB01B",1145.39438454981,"low","low","low","high","high","low","high","high"
"YB01F",1147.85298536736,"low","low","low","high","high","low","high","high"
"YSO3",1017.84294167725,"low","low","low","low","high","low","low","high"
"ZA03",1773.21817282603,"high","high","high","high","high","high","high","high"
"ZA04A",1783.05481367848,"high","high","high","high","high","high","high","high"
"ZA07",1802.24961839392,"high","high","high","high","high","high","high","high"
"ZA09",1711.06014769879,"high","high","high","high","high","high","high","high"
"ZA09.unburned",1710.16061411733,"high","high","high","high","high","high","high","high"
"ZA10A-C",1704.13459101877,"high","high","high","high","high","high","high","high"
"ZA22",1446.40082092736,"high","high","high","high","high","high","high","high"
"ZA24",1522.74240946292,"high","high","high","high","high","high","high","high"
"ZA24.dense",1522.83974028278,"high","high","high","high","high","high","high","high"
"ZA24.thin",1523.89019319873,"high","high","high","high","high","high","high","high"
